     Time, t (s)  Output Voltage, Vout (V)
1            0.0                  4.181392
2            0.1                  0.313632
3            0.2                 -3.774455
4            0.3                 -0.852857
5            0.4                  3.321652
6            0.5                  1.277745
7            0.6                 -2.844083
8            0.7                 -1.594422
9            0.8                  2.360111
10           0.9                  1.811240
11           1.0                 -1.885269
12           1.1                 -1.938164
13           1.2                  1.432256
14           1.3                  1.986206
15           1.4                 -1.011026
16           1.5                 -1.966923
17           1.6                  0.628943
18           1.7                  1.891982
19           1.8                 -0.290988
20           1.9                 -1.772794
21           2.0                 -0.000000
22           2.1                  1.620212
23           2.2                  0.243053
24           2.3                 -1.444301
25           2.4                 -0.438799
26           2.5                  1.254166
27           2.6                  0.589173
28           2.7                 -1.057837
29           2.8                 -0.697154
30           2.9                  0.862208
31           3.0                  0.766493
32           3.1                 -0.673015
33           3.2                 -0.801483
34           3.3                  0.494856
35           3.4                  0.806736
36           3.5                 -0.331243
37           3.6                 -0.786992
38           3.7                  0.184674
39           3.8                  0.746960
40           3.9                 -0.056725
41           4.0                 -0.691179
42           4.1                 -0.051843
43           4.2                  0.623913
44           4.3                  0.140976
45           4.4                 -0.549065
46           4.5                 -0.211210
47           4.6                  0.470124
48           4.7                  0.263556
49           4.8                 -0.390124
50           4.9                 -0.299396
51           5.0                  0.311633
52           5.1                  0.320376
53           5.2                 -0.236750
54           5.3                 -0.328318
55           5.4                  0.167121
56           5.5                  0.325130
57           5.6                 -0.103964
58           5.7                 -0.312743
59           5.8                  0.048100
60           5.9                  0.293041
61           6.0                  0.000000
62           6.1                 -0.267819
63           6.2                 -0.040176
64           6.3                  0.238741
65           6.4                  0.072533
66           6.5                 -0.207312
67           6.6                 -0.097390
68           6.7                  0.174859
69           6.8                  0.115239
70           6.9                 -0.142522
71           7.0                 -0.126700
72           7.1                  0.111249
73           7.2                  0.132484
74           7.3                 -0.081799
75           7.4                 -0.133352
76           7.5                  0.054754
77           7.6                  0.130089
78           7.7                 -0.030526
79           7.8                 -0.123472
80           7.9                  0.009377
81           8.0                  0.114251
82           8.1                  0.008570
83           8.2                 -0.103132
84           8.3                 -0.023303
85           8.4                  0.090760
86           8.5                  0.034913
87           8.6                 -0.077711
88           8.7                 -0.043566
89           8.8                  0.064487
90           8.9                  0.049490
91           9.0                 -0.051513
92           9.1                 -0.052958
93           9.2                  0.039135
94           9.3                  0.054271
95           9.4                 -0.027625
96           9.5                 -0.053744
97           9.6                  0.017185
98           9.7                  0.051696
99           9.8                 -0.007951
100          9.9                 -0.048439
101         10.0                 -0.000000
102         10.1                  0.044270
103         10.2                  0.006641
104         10.3                 -0.039464
105         10.4                 -0.011990
106         10.5                  0.034268
107         10.6                  0.016098
108         10.7                 -0.028904
109         10.8                 -0.019049
110         10.9                  0.023559
111         11.0                  0.020943
112         11.1                 -0.018389
113         11.2                 -0.021900
114         11.3                  0.013521
115         11.4                  0.022043
116         11.5                 -0.009051
117         11.6                 -0.021504
118         11.7                  0.005046
119         11.8                  0.020410
120         11.9                 -0.001550
121         12.0                 -0.018886
122         12.1                 -0.001417
123         12.2                  0.017048
124         12.3                  0.003852
125         12.4                 -0.015003
126         12.5                 -0.005771
127         12.6                  0.012846
128         12.7                  0.007201
129         12.8                 -0.010660
130         12.9                 -0.008181
131         13.0                  0.008515
132         13.1                  0.008754
133         13.2                 -0.006469
134         13.3                 -0.008971
135         13.4                  0.004566
136         13.5                  0.008884
137         13.6                 -0.002841
138         13.7                 -0.008545
139         13.8                  0.001314
140         13.9                  0.008007
141         14.0                  0.000000
142         14.1                 -0.007318
143         14.2                 -0.001098
144         14.3                  0.006523
145         14.4                  0.001982
146         14.5                 -0.005665
147         14.6                 -0.002661
148         14.7                  0.004778
149         14.8                  0.003149
150         14.9                 -0.003894
151         15.0                 -0.003462
152         15.1                  0.003040
153         15.2                  0.003620
154         15.3                 -0.002235
155         15.4                 -0.003644
156         15.5                  0.001496
157         15.6                  0.003555
158         15.7                 -0.000834
159         15.8                 -0.003374
160         15.9                  0.000256
161         16.0                  0.003122
162         16.1                  0.000234
163         16.2                 -0.002818
164         16.3                 -0.000637
165         16.4                  0.002480
166         16.5                  0.000954
167         16.6                 -0.002123
168         16.7                 -0.001190
169         16.8                  0.001762
170         16.9                  0.001352
171         17.0                 -0.001408
172         17.1                 -0.001447
173         17.2                  0.001069
174         17.3                  0.001483
175         17.4                 -0.000755
176         17.5                 -0.001468
177         17.6                  0.000470
178         17.7                  0.001413
179         17.8                 -0.000217
180         17.9                 -0.001324
181         18.0                 -0.000000
182         18.1                  0.001210
183         18.2                  0.000181
184         18.3                 -0.001078
185         18.4                 -0.000328
186         18.5                  0.000936
187         18.6                  0.000440
188         18.7                 -0.000790
189         18.8                 -0.000520
190         18.9                  0.000644
191         19.0                  0.000572
192         19.1                 -0.000502
193         19.2                 -0.000598
194         19.3                  0.000369
195         19.4                  0.000602
196         19.5                 -0.000247
197         19.6                 -0.000588
198         19.7                  0.000138
199         19.8                  0.000558
200         19.9                 -0.000042
