     Time, t (s)  Output Voltage, Vout (V)
1           0.00                  4.181392
2           0.15                 -2.419706
3           0.30                 -0.852857
4           0.45                  3.101206
5           0.60                 -2.844083
6           0.75                  0.582079
7           0.90                  1.811240
8           1.05                 -2.604844
9           1.20                  1.432256
10          1.35                  0.618246
11          1.50                 -1.966923
12          1.65                  1.736284
13          1.80                 -0.290988
14          1.95                 -1.180238
15          2.10                  1.620212
16          2.25                 -0.843989
17          2.40                 -0.438799
18          2.55                  1.245258
19          2.70                 -1.057837
20          2.85                  0.136306
21          3.00                  0.766493
22          3.15                 -1.006208
23          3.30                  0.494856
24          3.45                  0.306409
25          3.60                 -0.786992
26          3.75                  0.643125
27          3.90                 -0.056725
28          4.05                 -0.496256
29          4.20                  0.623913
30          4.35                 -0.288511
31          4.50                 -0.211210
32          4.65                  0.496524
33          4.80                 -0.390124
34          4.95                  0.017696
35          5.10                  0.320376
36          5.25                 -0.386255
37          5.40                  0.167121
38          5.55                  0.144056
39          5.70                 -0.312743
40          5.85                  0.236094
41          6.00                  0.000000
42          6.15                 -0.206279
43          6.30                  0.238741
44          6.45                 -0.096082
45          6.60                 -0.097390
46          6.75                  0.196664
47          6.90                 -0.142522
48          7.05                 -0.006878
49          7.20                  0.132484
50          7.35                 -0.147324
51          7.50                  0.054754
52          7.65                  0.065348
53          7.80                 -0.123472
54          7.95                  0.085806
55          8.10                  0.008570
56          8.25                 -0.084889
57          8.40                  0.090760
58          8.55                 -0.030874
59          8.70                 -0.043566
60          8.85                  0.077397
61          9.00                 -0.051513
62          9.15                 -0.008004
63          9.30                  0.054271
64          9.45                 -0.055818
65          9.60                  0.017185
66          9.75                  0.028880
67          9.90                 -0.048439
68         10.05                  0.030829
69         10.20                  0.006641
70         10.35                 -0.034622
71         10.50                  0.034268
72         10.65                 -0.009411
73         10.80                 -0.019049
74         10.95                  0.030269
75         11.10                 -0.018389
76         11.25                 -0.005163
77         11.40                  0.022043
78         11.55                 -0.021000
79         11.70                  0.005046
80         11.85                  0.012508
81         12.00                 -0.018886
82         12.15                  0.010929
83         12.30                  0.003852
84         12.45                 -0.014007
85         12.60                  0.012846
86         12.75                 -0.002629
87         12.90                 -0.008181
88         13.05                  0.011765
89         13.20                 -0.006469
90         13.35                 -0.002792
91         13.50                  0.008884
92         13.65                 -0.007842
93         13.80                  0.001314
94         13.95                  0.005331
95         14.10                 -0.007318
96         14.25                  0.003812
97         14.40                  0.001982
98         14.55                 -0.005624
99         14.70                  0.004778
100        14.85                 -0.000616
101        15.00                 -0.003462
102        15.15                  0.004545
103        15.30                 -0.002235
104        15.45                 -0.001384
105        15.60                  0.003555
106        15.75                 -0.002905
107        15.90                  0.000256
108        16.05                  0.002241
109        16.20                 -0.002818
110        16.35                  0.001303
111        16.50                  0.000954
112        16.65                 -0.002243
113        16.80                  0.001762
114        16.95                 -0.000080
115        17.10                 -0.001447
116        17.25                  0.001745
117        17.40                 -0.000755
118        17.55                 -0.000651
119        17.70                  0.001413
120        17.85                 -0.001066
121        18.00                 -0.000000
122        18.15                  0.000932
123        18.30                 -0.001078
124        18.45                  0.000434
125        18.60                  0.000440
126        18.75                 -0.000888
127        18.90                  0.000644
128        19.05                  0.000031
129        19.20                 -0.000598
130        19.35                  0.000665
131        19.50                 -0.000247
132        19.65                 -0.000295
133        19.80                  0.000558
134        19.95                 -0.000388
135        20.10                 -0.000039
136        20.25                  0.000383
137        20.40                 -0.000410
138        20.55                  0.000139
139        20.70                  0.000197
140        20.85                 -0.000350
141        21.00                  0.000233
142        21.15                  0.000036
143        21.30                 -0.000245
144        21.45                  0.000252
145        21.60                 -0.000078
146        21.75                 -0.000130
147        21.90                  0.000219
148        22.05                 -0.000139
149        22.20                 -0.000030
150        22.35                  0.000156
151        22.50                 -0.000155
152        22.65                  0.000043
153        22.80                  0.000086
154        22.95                 -0.000137
155        23.10                  0.000083
156        23.25                  0.000023
157        23.40                 -0.000100
158        23.55                  0.000095
159        23.70                 -0.000023
160        23.85                 -0.000056
161        24.00                  0.000085
162        24.15                 -0.000049
163        24.30                 -0.000017
164        24.45                  0.000063
165        24.60                 -0.000058
166        24.75                  0.000012
167        24.90                  0.000037
168        25.05                 -0.000053
169        25.20                  0.000029
170        25.35                  0.000013
171        25.50                 -0.000040
172        25.65                  0.000035
173        25.80                 -0.000006
174        25.95                 -0.000024
175        26.10                  0.000033
176        26.25                 -0.000017
177        26.40                 -0.000009
178        26.55                  0.000025
179        26.70                 -0.000022
180        26.85                  0.000003
181        27.00                  0.000016
182        27.15                 -0.000021
183        27.30                  0.000010
184        27.45                  0.000006
185        27.60                 -0.000016
186        27.75                  0.000013
187        27.90                 -0.000001
188        28.05                 -0.000010
189        28.20                  0.000013
190        28.35                 -0.000006
191        28.50                 -0.000004
192        28.65                  0.000010
193        28.80                 -0.000008
194        28.95                  0.000000
195        29.10                  0.000007
196        29.25                 -0.000008
197        29.40                  0.000003
198        29.55                  0.000003
199        29.70                 -0.000006
200        29.85                  0.000005
