     Time, t (s)  Output Voltage, Vout (V)
1            0.0                  4.181392
2            0.2                 -3.774455
3            0.4                  3.321652
4            0.6                 -2.844083
5            0.8                  2.360111
6            1.0                 -1.885269
7            1.2                  1.432256
8            1.4                 -1.011026
9            1.6                  0.628943
10           1.8                 -0.290988
11           2.0                 -0.000000
12           2.2                  0.243053
13           2.4                 -0.438799
14           2.6                  0.589173
15           2.8                 -0.697154
16           3.0                  0.766493
17           3.2                 -0.801483
18           3.4                  0.806736
19           3.6                 -0.786992
20           3.8                  0.746960
21           4.0                 -0.691179
22           4.2                  0.623913
23           4.4                 -0.549065
24           4.6                  0.470124
25           4.8                 -0.390124
26           5.0                  0.311633
27           5.2                 -0.236750
28           5.4                  0.167121
29           5.6                 -0.103964
30           5.8                  0.048100
31           6.0                  0.000000
32           6.2                 -0.040176
33           6.4                  0.072533
34           6.6                 -0.097390
35           6.8                  0.115239
36           7.0                 -0.126700
37           7.2                  0.132484
38           7.4                 -0.133352
39           7.6                  0.130089
40           7.8                 -0.123472
41           8.0                  0.114251
42           8.2                 -0.103132
43           8.4                  0.090760
44           8.6                 -0.077711
45           8.8                  0.064487
46           9.0                 -0.051513
47           9.2                  0.039135
48           9.4                 -0.027625
49           9.6                  0.017185
50           9.8                 -0.007951
51          10.0                 -0.000000
52          10.2                  0.006641
53          10.4                 -0.011990
54          10.6                  0.016098
55          10.8                 -0.019049
56          11.0                  0.020943
57          11.2                 -0.021900
58          11.4                  0.022043
59          11.6                 -0.021504
60          11.8                  0.020410
61          12.0                 -0.018886
62          12.2                  0.017048
63          12.4                 -0.015003
64          12.6                  0.012846
65          12.8                 -0.010660
66          13.0                  0.008515
67          13.2                 -0.006469
68          13.4                  0.004566
69          13.6                 -0.002841
70          13.8                  0.001314
71          14.0                  0.000000
72          14.2                 -0.001098
73          14.4                  0.001982
74          14.6                 -0.002661
75          14.8                  0.003149
76          15.0                 -0.003462
77          15.2                  0.003620
78          15.4                 -0.003644
79          15.6                  0.003555
80          15.8                 -0.003374
81          16.0                  0.003122
82          16.2                 -0.002818
83          16.4                  0.002480
84          16.6                 -0.002123
85          16.8                  0.001762
86          17.0                 -0.001408
87          17.2                  0.001069
88          17.4                 -0.000755
89          17.6                  0.000470
90          17.8                 -0.000217
91          18.0                 -0.000000
92          18.2                  0.000181
93          18.4                 -0.000328
94          18.6                  0.000440
95          18.8                 -0.000520
96          19.0                  0.000572
97          19.2                 -0.000598
98          19.4                  0.000602
99          19.6                 -0.000588
100         19.8                  0.000558
101         20.0                 -0.000516
102         20.2                  0.000466
103         20.4                 -0.000410
104         20.6                  0.000351
105         20.8                 -0.000291
106         21.0                  0.000233
107         21.2                 -0.000177
108         21.4                  0.000125
109         21.6                 -0.000078
110         21.8                  0.000036
111         22.0                  0.000000
112         22.2                 -0.000030
113         22.4                  0.000054
114         22.6                 -0.000073
115         22.8                  0.000086
116         23.0                 -0.000095
117         23.2                  0.000099
118         23.4                 -0.000100
119         23.6                  0.000097
120         23.8                 -0.000092
121         24.0                  0.000085
122         24.2                 -0.000077
123         24.4                  0.000068
124         24.6                 -0.000058
125         24.8                  0.000048
126         25.0                 -0.000038
127         25.2                  0.000029
128         25.4                 -0.000021
129         25.6                  0.000013
130         25.8                 -0.000006
131         26.0                 -0.000000
132         26.2                  0.000005
133         26.4                 -0.000009
134         26.6                  0.000012
135         26.8                 -0.000014
136         27.0                  0.000016
137         27.2                 -0.000016
138         27.4                  0.000016
139         27.6                 -0.000016
140         27.8                  0.000015
141         28.0                 -0.000014
142         28.2                  0.000013
143         28.4                 -0.000011
144         28.6                  0.000010
145         28.8                 -0.000008
146         29.0                  0.000006
147         29.2                 -0.000005
148         29.4                  0.000003
149         29.6                 -0.000002
150         29.8                  0.000001
151         30.0                  0.000000
152         30.2                 -0.000001
153         30.4                  0.000001
154         30.6                 -0.000002
155         30.8                  0.000002
156         31.0                 -0.000003
157         31.2                  0.000003
158         31.4                 -0.000003
159         31.6                  0.000003
160         31.8                 -0.000003
161         32.0                  0.000002
162         32.2                 -0.000002
163         32.4                  0.000002
164         32.6                 -0.000002
165         32.8                  0.000001
166         33.0                 -0.000001
167         33.2                  0.000001
168         33.4                 -0.000001
169         33.6                  0.000000
170         33.8                 -0.000000
171         34.0                 -0.000000
172         34.2                  0.000000
173         34.4                 -0.000000
174         34.6                  0.000000
175         34.8                 -0.000000
176         35.0                  0.000000
177         35.2                 -0.000000
178         35.4                  0.000000
179         35.6                 -0.000000
180         35.8                  0.000000
181         36.0                 -0.000000
182         36.2                  0.000000
183         36.4                 -0.000000
184         36.6                  0.000000
185         36.8                 -0.000000
186         37.0                  0.000000
187         37.2                 -0.000000
188         37.4                  0.000000
189         37.6                 -0.000000
190         37.8                  0.000000
191         38.0                  0.000000
192         38.2                 -0.000000
193         38.4                  0.000000
194         38.6                 -0.000000
195         38.8                  0.000000
196         39.0                 -0.000000
197         39.2                  0.000000
198         39.4                 -0.000000
199         39.6                  0.000000
200         39.8                 -0.000000
