"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.173279171E0,-1.851971447E-1,2.278900146E-1,-3.635954261E-1
3.193340937E0,-1.530425102E-1,5.485944748E-1,-3.352375627E-1
3.213402636E0,-1.504970044E-1,3.854694366E-1,-2.350345105E-1
3.233464402E0,-1.312104166E-1,3.082466125E-1,-1.678588241E-1
3.253526134E0,-1.112269163E-1,4.151229858E-1,-1.726012230E-1
3.273554534E0,-8.706088364E-2,3.061828613E-1,-1.498588622E-1
3.303547166E0,-7.698226720E-3,2.364873886E-1,4.121887684E-2
3.333539864E0,1.704780012E-1,6.237268448E-1,3.258858919E-1
3.363532396E0,2.585392296E-1,7.579784393E-1,4.058896601E-1
3.393525094E0,1.766438335E-1,4.392557144E-1,3.892304897E-1
3.423517792E0,1.888770014E-1,7.520151138E-1,2.478140295E-1
3.453510624E0,1.521412581E-1,8.043432236E-1,1.321156621E-1
3.483503322E0,-5.430580676E-2,7.756042480E-1,4.818651080E-2
3.513495987E0,-9.782245010E-2,6.314821243E-1,1.946237683E-2
3.543488652E0,-1.186404079E-1,3.097152710E-1,7.524031401E-2
3.573481350E0,-8.656623214E-2,3.517236710E-1,6.270910800E-2
3.603474015E0,1.230652258E-2,7.140312195E-1,5.328431726E-3
3.633466680E0,3.663980588E-2,1.114006042E0,-4.400674999E-2
3.663459378E0,2.296906710E-1,2.294049740E0,9.565795958E-2
3.693452077E0,6.954918504E-1,6.823651314E0,6.569200754E-1
3.723444742E0,3.159726858E-1,6.033754826E0,4.490018785E-1
3.753437440E0,-6.147403717E-1,4.629359722E0,3.816972673E-2
3.783430105E0,-9.426758289E-1,3.967712402E0,-1.043944836E0
3.813422770E0,-9.706951380E-1,2.086483955E0,-1.310683608E0
3.843415435E0,-1.060801983E0,-2.223682404E-2,-1.223567247E0
3.873408100E0,-5.260020494E-1,-1.781556129E0,-3.843924999E-1
3.903400765E0,9.950556159E-1,-5.299788475E0,8.353196383E-1
3.933393497E0,1.225474834E0,-6.642272949E0,1.027804136E0
3.963386162E0,7.838134766E-1,-7.544595718E0,2.818876505E-1
3.993378861E0,-4.475326836E-1,-6.963396072E0,-1.332663536E0
4.023371526E0,-7.678846717E-1,-6.724475861E0,-1.665073991E0
4.053364191E0,-6.402201056E-1,-6.333022118E0,-9.607641101E-1
4.083356889E0,3.963993490E-2,-5.769180298E0,2.809858322E-1
4.113349588E0,5.476164818E-1,-5.144797325E0,9.200384021E-1
4.143342253E0,5.606824160E-1,-2.866749763E0,5.603178740E-1
4.173334951E0,3.592323363E-1,-1.237107277E0,-2.908295393E-2
4.203327616E0,-1.152817458E-1,5.519132614E-1,-8.175945282E-1
4.233320215E0,-3.905780315E-1,1.762829781E0,-1.194802642E0
4.263312913E0,-6.007344723E-1,2.708823681E0,-8.005888462E-1
4.293305512E0,-8.009237647E-1,3.527789116E0,-2.292521298E-1
4.323298210E0,-9.186067581E-1,4.090682983E0,4.264374375E-1
4.353290908E0,-1.059109807E0,4.570819855E0,1.052982926E0
4.383283540E0,-1.118768215E0,4.775088310E0,1.255897045E0
4.413276238E0,-1.025479913E0,4.655383110E0,1.144943595E0
4.443268936E0,-8.303126097E-1,4.063904762E0,8.456064463E-1
4.473261601E0,-3.252146244E-1,3.068505287E0,3.213125467E-1
4.503254299E0,1.047158614E-1,1.928621292E0,-1.763327420E-2
4.533246997E0,2.399064302E-1,9.190330505E-1,-1.234640330E-1
4.563239629E0,2.169651985E-1,1.597223282E-1,2.551708370E-2
4.593232327E0,-2.368952483E-1,-5.652742386E-1,3.911599517E-1
4.623224992E0,-8.930605650E-1,-1.237670898E0,7.461158037E-1
4.653217657E0,-1.008814573E0,-1.695550919E0,7.667561173E-1
4.683210355E0,-5.958327055E-1,-2.906755447E0,5.460728407E-1
4.713202987E0,1.566601545E-1,-3.735664368E0,4.378501773E-1
4.743195652E0,8.662297726E-1,-4.439089775E0,3.321924806E-1
4.773188317E0,9.481743574E-1,-4.313913345E0,3.605762124E-1
4.803180982E0,5.293974876E-1,-3.808409691E0,3.705431819E-1
4.823242782E0,-1.996457875E-1,-2.533854485E0,2.996191978E-1
4.843304548E0,-4.395474792E-1,-2.219019890E0,2.587051392E-1
4.863366314E0,-6.071113944E-1,-1.610105515E0,2.637096047E-1
4.883428080E0,-5.757053494E-1,-8.154459000E-1,2.439879179E-1
4.903489846E0,-4.192816615E-1,-6.295347214E-1,2.490549982E-1
4.923551612E0,9.734854102E-2,-2.574634552E-1,3.908069134E-1
4.943613378E0,4.389008582E-1,7.218360901E-3,5.163865685E-1
4.963675144E0,6.719564199E-1,2.417736053E-1,5.794838667E-1
4.983736910E0,8.088449240E-1,5.965452194E-1,6.348153353E-1
5.003798710E0,8.193262815E-1,1.171156883E0,6.183922291E-1
5.023860476E0,6.762993932E-1,1.594631195E0,5.796432495E-1
5.043922208E0,3.893694878E-1,2.018890858E0,4.580725431E-1
5.063983974E0,1.055068597E-1,2.365452290E0,3.102236092E-1
5.084045740E0,-1.527971625E-1,2.604671955E0,2.001427114E-1
5.104107506E0,-3.242627382E-1,2.758747578E0,1.761189997E-1
5.134100171E0,-4.867091179E-1,2.759151459E0,1.814384460E-1
